Game ID,Team ID,Player ID,Number,Position
2024030232,52,8476525,6,D
2024030232,25,8476879,44,D
2024030232,25,8476902,23,D
2024030232,52,8476945,37,G
2024030232,52,8477480,1,G
2024030232,52,8477504,44,D
2024030232,52,8477938,24,D
2024030232,52,8477940,27,L
2024030232,52,8478398,81,L
2024030232,25,8478420,96,R
2024030232,25,8478449,24,C
2024030232,52,8478891,22,C
2024030232,25,8478975,27,L
2024030232,25,8479193,1,G
2024030232,52,8479293,73,L
2024030232,25,8479351,18,C
2024030232,25,8479979,29,G
2024030232,52,8480014,13,C
2024030232,25,8480027,21,L
2024030232,52,8480049,54,D
2024030232,52,8480113,9,L
2024030232,52,8480145,4,D
2024030232,52,8480289,36,C
2024030232,25,8480840,10,C
2024030232,25,8480950,46,D
2024030232,25,8481581,55,D
2024030232,52,8482149,91,C
2024030232,25,8482740,53,C
2024030232,25,8483425,6,D
2024030233,25,8473994,14,L
2024030233,25,8474149,63,R
2024030233,25,8475168,95,C
2024030233,25,8475755,28,D
2024030233,25,8475794,91,C
2024030233,25,8475798,64,C
2024030233,52,8475799,62,R
2024030233,25,8476278,15,C
2024030233,52,8476331,2,D
2024030233,52,8476392,17,C
2024030233,52,8476460,55,C
2024030233,52,8476480,7,C
2024030233,52,8476525,6,D
2024030233,25,8476879,44,D
2024030233,25,8476902,23,D
2024030233,52,8476945,37,G
2024030233,52,8477480,1,G
2024030233,52,8477504,44,D
2024030233,52,8477938,24,D
2024030233,52,8477940,27,L
2024030233,52,8478398,81,L
2024030233,25,8478420,96,R
2024030233,25,8478449,24,C
2024030233,52,8478891,22,C
2024030233,25,8478975,27,L
2024030233,25,8479193,1,G
2024030233,52,8479293,73,L
2024030233,25,8479351,18,C
2024030233,25,8479979,29,G
2024030233,52,8480014,13,C
2024030233,25,8480027,21,L
2024030233,52,8480049,54,D
2024030233,52,8480113,9,L
2024030233,52,8480145,4,D
2024030233,52,8480289,36,C
2024030233,25,8480950,46,D
2024030233,25,8481581,55,D
2024030233,52,8482149,91,C
2024030233,25,8482740,53,C
2024030233,25,8483425,6,D
2024030234,25,8473994,14,L
2024030234,25,8474149,63,R
2024030234,52,8474568,5,D
2024030234,25,8475168,95,C
2024030234,25,8475755,28,D
2024030234,25,8475794,91,C
2024030234,25,8475798,64,C
2024030234,52,8475799,62,R
2024030234,52,8476331,2,D
2024030234,52,8476392,17,C
2024030234,52,8476460,55,C
2024030234,52,8476480,7,C
2024030234,25,8476879,44,D
2024030234,25,8476902,23,D
2024030234,52,8476945,37,G
2024030234,52,8477480,1,G
2024030234,52,8477504,44,D
2024030234,52,8477938,24,D
2024030234,52,8477940,27,L
2024030234,52,8478398,81,L
2024030234,25,8478420,96,R
2024030234,25,8478449,24,C
2024030234,52,8478891,22,C
2024030234,25,8478975,27,L
2024030234,25,8479193,1,G
2024030234,52,8479293,73,L
2024030234,25,8479351,18,C
2024030234,25,8479979,29,G
2024030234,52,8480014,13,C
2024030234,25,8480027,21,L
2024030234,25,8480036,4,D
2024030234,52,8480049,54,D
2024030234,52,8480113,9,L
2024030234,52,8480145,4,D
2024030234,52,8480289,36,C
2024030234,25,8480950,46,D
2024030234,25,8481581,55,D
2024030234,52,8482149,91,C
2024030234,25,8482740,53,C
2024030234,25,8483425,6,D
2024030235,25,8473994,14,L
2024030235,25,8474149,63,R
2024030235,52,8474568,5,D
2024030235,25,8475168,95,C
2024030235,25,8475755,28,D
2024030235,25,8475794,91,C
2024030235,25,8475798,64,C
